name	taxonomy_id	taxonomy_lvl	A035vir.bracken_num	A035vir.bracken_frac	A036vir.bracken_num	A036vir.bracken_frac	A037vir.bracken_num	A037vir.bracken_frac	A038vir.bracken_num	A038vir.bracken_frac	A039vir.bracken_num	A039vir.bracken_frac	A040vir.bracken_num	A040vir.bracken_frac	A041vir.bracken_num	A041vir.bracken_frac	A042vir.bracken_num	A042vir.bracken_frac	A043vir.bracken_num	A043vir.bracken_frac	A194_vir.bracken_num	A194_vir.bracken_frac	A195_vir.bracken_num	A195_vir.bracken_frac	A196_vir.bracken_num	A196_vir.bracken_frac	A197_vir.bracken_num	A197_vir.bracken_frac	A198_vir.bracken_num	A198_vir.bracken_frac	A199_vir.bracken_num	A199_vir.bracken_frac	A200_vir.bracken_num	A200_vir.bracken_frac	A201_vir.bracken_num	A201_vir.bracken_frac	A202_vir.bracken_num	A202_vir.bracken_frac	S035vir.bracken_num	S035vir.bracken_frac	S036vir.bracken_num	S036vir.bracken_frac	S037vir.bracken_num	S037vir.bracken_frac	S038vir.bracken_num	S038vir.bracken_frac	S039vir.bracken_num	S039vir.bracken_frac	S040vir.bracken_num	S040vir.bracken_frac	S041vir.bracken_num	S041vir.bracken_frac	S042vir.bracken_num	S042vir.bracken_frac	S043vir.bracken_num	S043vir.bracken_frac	S194_vir.bracken_num	S194_vir.bracken_frac	S195_vir.bracken_num	S195_vir.bracken_frac	S196_vir.bracken_num	S196_vir.bracken_frac	S197_vir.bracken_num	S197_vir.bracken_frac	S198_vir.bracken_num	S198_vir.bracken_frac	S199_vir.bracken_num	S199_vir.bracken_frac	S200_vir.bracken_num	S200_vir.bracken_frac	S201_vir.bracken_num	S201_vir.bracken_frac	S202_vir.bracken_num	S202_vir.bracken_frac
Agatevirus agate	1910935	S	0	0.00000	0	0.00000	3	0.00025	0	0.00000	1	0.00005	0	0.00000	3	0.00006	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	3	0.00021	1	0.00012	0	0.00000	0	0.00000	2	0.00016	1	0.00008	0	0.00000	3	0.00021	4	0.00031	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Enchivirus Enc34	2955860	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	2	0.00009	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	3	0.00014	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Bcepmuvirus E255	431894	S	0	0.00000	0	0.00000	0	0.00000	4	0.00019	4	0.00022	1	0.00004	1	0.00002	3	0.00007	6	0.00013	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	4	0.00028	1	0.00012	0	0.00000	0	0.00000	4	0.00032	1	0.00008	0	0.00000	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Midgardsormrvirus midgardsormr38	3060306	S	2	0.00012	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	7	0.00032	0	0.00000	0	0.00000	1	0.00008	2	0.00012	4	0.00028	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Thamnovirus percae	2956517	S	1	0.00006	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Bridgettevirus judy	2734225	S	1	0.00006	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	6	0.00041	0	0.00000	3	0.00014	4	0.00033	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Daredevilvirus daredevil	2734229	S	9	0.00055	10	0.00072	5	0.00041	21	0.00102	12	0.00066	19	0.00085	175	0.00369	199	0.00475	294	0.00616	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	6	0.00041	13	0.00156	10	0.00045	18	0.00149	31	0.00247	24	0.00198	8	0.00047	10	0.00069	10	0.00078	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Mycobacterium virus Liefie	1074304	S	0	0.00000	0	0.00000	1	0.00008	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Alphabaculovirus alteragsegetum	3047355	S	0	0.00000	1	0.00007	2	0.00017	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1	0.00005	1	0.00008	0	0.00000	1	0.00008	1	0.00006	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Wizardvirus twister6	2170253	S	0	0.00000	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	3	0.00036	25	0.00113	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
