Codigo,Tipo,Punto,Muestreo,sul1,tetA,CTX_M,qnrS,ermB,dfrA12,blaTEM,sul2,tetQ,intI_1,Cfecales,Ecoli,Efaecalis,CF_EF,Porcentaje_OD,mg_L_OD,?S_cm,,,,,,,,,,,,
A035,agua,Sitio 1,2,0.00046016,8.97E-06,ND,1.96E-06,1.77E-05,3.73E-06,ND,0.00013076,0.000311125,ND,3.948055002,330,330,350,0.9,-27.6,7.51,113,78.1,7.74,159.4,131.5,0.0071,70,0.07,15.8,80.31,9.81,10
A036,agua,Sitio 1,2,0.000152297,4.76E-06,ND,2.46E-06,ND,ND,ND,8.87E-05,0.000249882,ND,3.143821575,330,130,920,0.4,-27.6,7.51,113,78.1,7.74,159.4,131.5,0.0071,70,0.07,15.8,80.31,9.85,10
A037,agua,Sitio 1,2,0.000179694,6.02E-06,ND,4.57E-06,ND,ND,1.90E-05,0.000133256,0.000319123,ND,3.290045835,220,220,920,0.2,-27.6,7.51,113,78.1,7.74,159.4,131.5,0.0071,70,0.07,15.8,80.31,9.84,10
A038,agua,Sitio 2,2,0.042452353,0.000406642,ND,2.04E-05,0.000416869,3.24E-05,3.12E-05,0.013741653,0.017580935,ND,27.78260927,160000,54000,16000,10,-45.3,7.85,192.6,71.8,8.27,202.8,179,0.0054,93,0.09,23.4,90.45,8.71,30
A039,agua,Sitio 2,2,0.038263318,0.000323956,ND,1.23E-05,0.000234687,3.80E-05,3.26E-05,0.002159485,0.012477442,ND,22.66476019,35000,35000,24000,1.5,-45.3,7.85,192.6,71.8,8.27,202.8,179,0.0054,93,0.09,23.4,90.45,8.76,30
A040,agua,Sitio 2,2,0.053244599,0.000487548,ND,2.28E-05,0.000237307,ND,2.43E-05,0.017188514,0.016105631,ND,34.36270094,160000,160000,17000,9.4,-45.3,7.85,192.6,71.8,8.27,202.8,179,0.0054,93,0.09,23.4,90.45,8.73,30
A041,agua,Sitio 3,2,0.068713224,0.000609115,ND,3.81E-06,ND,2.46E-05,1.72E-05,0.022631643,0.000171953,ND,4.971624817,240000,160000,3500,68.6,-48.3,7.9,196.7,47.7,3.78,377.7,322,0.0032,156,0.15,28,93.92,21.7,70
A042,agua,Sitio 3,2,0.087225337,0.000255035,ND,2.29E-05,1.41E-05,1.09E-05,1.47E-05,0.016419837,2.72E-05,ND,5.556521854,350000,350000,5400,64.8,-48.3,7.9,196.7,47.7,3.78,377.7,322,0.0032,156,0.15,28,93.92,22.2,70
A043,agua,Sitio 3,2,0.04348889,ND,ND,ND,4.95E-05,ND,ND,0.013955069,0.000608705,ND,ND,460000,310000,9200,50,-48.3,7.9,196.7,47.7,3.78,377.7,322,0.0032,156,0.15,28,93.92,21.9,70
A194,agua,Sitio 1,3,0.010821972,8.33E-05,0,0.000206566,0.000221137,7.47E-06,0,0.044889956,0.112942375,0.007180812,92000,54000,35000,2.6,NA,8.45,142.5,,,,,,,,,,,,
A195,agua,Sitio 1,3,0.016146645,0.00017465,0,0.00048391,0.000376488,0,0,0.107234518,0.260538481,0.018246047,4600,4600,3500,1.3,86.2,8.49,122.7,,,,,,,,,,,,
A196,agua,Sitio 1,3,1.56E-06,5.84E-05,0,0.000215816,0.000101506,7.54E-06,0,0.032831278,0.077888187,0.004454824,4600,4600,3500,1.3,86.2,8.49,122.7,,,,,,,,,,,,
A197,agua,Sitio 2,3,0.020294161,0.000174388,1.72E-06,0.000626286,0.000236124,0.000112466,1.31E-05,0.012219964,0.010105496,0.015041364,4600,4600,3500,1.3,86.2,8.49,122.7,,,,,,,,,,,,
A198,agua,Sitio 2,3,0.020649805,4.59E-05,0,4.92E-05,8.03E-05,1.25E-05,8.29E-06,0.012194629,0.003184077,0.007523484,92000,54000,35000,2.6,NA,8.45,142.5,,,,,,,,,,,,
A199,agua,Sitio 2,3,0.038662028,0.000331468,2.02E-06,0.001117688,0.000341948,0.00016385,1.04E-05,0.044821227,0.024007453,0.032928141,92000,54000,35000,2.6,NA,8.45,142.5,,,,,,,,,,,,
A200,agua,Sitio 3,3,0.046756867,0.000465375,0,0.001157958,6.70E-05,5.96E-05,0,0.118978483,0.005875808,0.160560897,70000,31000,9200,7.6,77,59,151.4,,,,,,,,,,,,
A201,agua,Sitio 3,3,0.127980436,0.000375685,0,0.00057735,3.87E-05,4.73E-05,0,0.123979733,0.003255063,0.118254892,70000,31000,9200,7.6,77,59,151.4,,,,,,,,,,,,
A202,agua,Sitio 3,3,0.010755001,0.000512414,0,0.001202914,8.94E-05,0.00012198,0,0.122422839,0.00486904,0.121535251,70000,31000,9200,7.6,77,59,151.4,,,,,,,,,,,,
S035,sedimento,Sitio 1,2,0.000809661,1.74E-05,ND,ND,2.03E-05,ND,ND,9.94E-05,8.77E-05,ND,2.558924538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S036,sedimento,Sitio 1,2,0.000413448,5.42E-06,ND,ND,2.22E-05,ND,ND,0.000113209,7.16E-05,ND,3.216933705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S037,sedimento,Sitio 1,2,0.000404498,7.07E-06,ND,ND,1.12E-05,ND,ND,0.000102584,7.94E-05,ND,2.339588149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S038,sedimento,Sitio 2,2,0.005857889,8.09E-06,ND,1.64E-06,8.54E-06,8.48E-07,ND,0.002683087,5.31E-05,ND,2.558924538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
